epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.009,2.12322,3.43557,1.52146,0.46903,0.50172,0.5066,0.29438,1.57462,2.40691,1.22985,7.145e-05,7.145e-05,7.145e-05
2,248.469,1.68771,1.75874,1.23733,0.55718,0.63267,0.5818,0.33228,1.49537,1.9654,1.27856,0.000155634,0.000155634,0.000155634
3,369.726,1.53626,1.35529,1.22868,0.93359,0.69192,0.75079,0.42892,1.4143,1.65693,1.22995,0.00023812,0.00023812,0.00023812
4,470.825,1.58751,1.32072,1.2695,0.6677,0.66742,0.64395,0.38012,1.4636,2.32148,1.22783,0.000318909,0.000318909,0.000318909
5,541.013,1.47581,1.25565,1.16549,0.66403,0.68389,0.69099,0.40914,1.40556,1.87559,1.17765,0.000397999,0.000397999,0.000397999
6,607.357,1.49228,1.32755,1.25719,0.71531,0.68389,0.67988,0.37877,1.45717,1.33382,1.36708,0.000475393,0.000475393,0.000475393
7,674.313,1.62101,1.31921,1.30783,0.58889,0.55947,0.54204,0.31687,1.55846,1.95688,1.31954,0.000551088,0.000551088,0.000551088
8,742.716,1.53464,1.24312,1.24903,0.4681,0.5605,0.48032,0.29233,1.49201,2.74988,1.30001,0.000625086,0.000625086,0.000625086
9,810.234,1.54307,1.31085,1.24542,0.42851,0.6118,0.42027,0.25111,1.46667,6.98109,1.37704,0.000697386,0.000697386,0.000697386
10,878.831,1.37025,1.17894,1.13348,0.34853,0.51008,0.35327,0.20836,1.55926,30.5638,1.43983,0.000767989,0.000767989,0.000767989
11,965.811,1.57366,1.21926,1.23347,0.22896,0.34635,0.292,0.17517,1.55824,56.072,1.36189,0.000836894,0.000836894,0.000836894
12,1081.67,1.47357,1.14034,1.19157,0.32291,0.46955,0.34173,0.19764,1.49124,31.8621,1.28507,0.000904101,0.000904101,0.000904101
13,1157.55,1.49484,1.15497,1.19698,0.50582,0.48951,0.50272,0.27722,1.5702,6.16306,1.42162,0.000969611,0.000969611,0.000969611
14,1222.95,1.5355,1.35645,1.31334,0.60039,0.67662,0.63936,0.3053,1.48141,3.0758,1.4044,0.00103342,0.00103342,0.00103342
