epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.094,2.7236,3.66247,1.96367,0.98508,0.4375,0.59343,0.25677,2.42618,2.21412,1.72139,6.668e-05,6.668e-05,6.668e-05
2,131.954,2.2614,2.11161,1.56615,0.76708,0.74095,0.78353,0.37134,1.89231,1.57141,1.4205,0.000148545,0.000148545,0.000148545
3,191.019,1.87118,1.57392,1.29521,0.64335,0.57812,0.65035,0.32101,2.0258,1.71188,1.41278,0.000228759,0.000228759,0.000228759
4,251.677,1.96413,1.48153,1.25797,0.96009,0.72173,0.87059,0.39796,2.07489,1.46641,1.55072,0.000307323,0.000307323,0.000307323
5,311.473,1.73648,1.15484,1.2352,0.88517,0.82093,0.8798,0.36181,1.97929,1.88335,1.53641,0.000384237,0.000384237,0.000384237
6,369.913,1.9972,1.52164,1.42094,0.8698,0.67254,0.82529,0.37784,1.98547,1.40841,1.5187,0.0004595,0.0004595,0.0004595
7,428.182,1.88317,1.52496,1.36529,0.70456,0.76981,0.8632,0.43042,1.99772,1.30506,1.55959,0.000533113,0.000533113,0.000533113
8,487.097,1.89334,1.53118,1.3447,0.76667,0.86184,0.85729,0.41298,1.90111,2.1081,1.51918,0.000605076,0.000605076,0.000605076
9,545.819,1.85839,1.40503,1.30572,0.92738,0.70768,0.87128,0.40675,1.91401,1.92168,1.51617,0.000675388,0.000675388,0.000675388
10,605.227,1.91517,1.70745,1.38232,0.50582,0.61007,0.56884,0.2552,2.16133,2.02817,1.65861,0.00074405,0.00074405,0.00074405
11,663.915,1.8268,1.50509,1.32746,0.62158,0.79688,0.77714,0.3959,1.92012,5.25193,1.46552,0.000811062,0.000811062,0.000811062
12,722.581,1.78501,1.70229,1.18341,0.6795,0.78125,0.76487,0.34354,1.96222,2.99794,1.55966,0.000876424,0.000876424,0.000876424
13,780.647,1.80753,1.0986,1.27542,0.59746,0.70768,0.79333,0.29065,2.20914,3.80859,1.83014,0.000940135,0.000940135,0.000940135
14,839.161,1.87416,1.88626,1.39917,0.59746,0.70768,0.79333,0.29065,2.20914,3.80859,1.83014,0.0010022,0.0010022,0.0010022
15,897.652,1.85183,1.65633,1.34919,0.65304,0.60103,0.59544,0.18975,2.50448,1.89055,2.06073,0.00106261,0.00106261,0.00106261
16,955.828,1.85864,1.67011,1.35218,0.86349,0.79025,0.85609,0.37727,1.98521,2.15545,1.64751,0.00112137,0.00112137,0.00112137
17,1013.92,1.86179,1.46082,1.36903,0.59098,0.875,0.84493,0.34559,1.89582,2.09336,1.57591,0.00117848,0.00117848,0.00117848
18,1071.69,1.81471,1.68044,1.31451,0.59098,0.875,0.84493,0.34559,1.89582,2.09336,1.57591,0.00123394,0.00123394,0.00123394
19,1130.47,1.95948,1.38587,1.3627,0.73749,0.73093,0.77564,0.32674,2.1133,1.56877,1.6819,0.00128774,0.00128774,0.00128774
20,1188.9,2.04609,1.45531,1.46639,0.56513,0.8638,0.88414,0.42356,1.85655,4.08358,1.55999,0.0013399,0.0013399,0.0013399
21,1248.25,1.80068,1.20084,1.2701,0.56513,0.8638,0.88414,0.42356,1.85655,4.08358,1.55999,0.00133693,0.00133693,0.00133693
22,1306.3,1.81035,1.21452,1.36985,0.51599,0.85938,0.79223,0.3935,1.82653,3.19171,1.51042,0.00132043,0.00132043,0.00132043
23,1364.49,1.84548,1.20805,1.33416,0.54362,0.8636,0.91626,0.45173,1.84885,5.01582,1.55695,0.00130393,0.00130393,0.00130393
